gene	pval	fstat	species_specific
PFDN5	0	1014.0249511121	FALSE
BLOC1S1	0	1643.78456204118	FALSE
RDH5	5.89580139412591e-06	12.0760489342699	TRUE
CD63	0	1367.74723019388	FALSE
GDF11	1.2640314812512e-27	62.8630008681722	TRUE
SARNP	2.03282738141628e-163	410.310959433064	FALSE
ORMDL2	5.00102157808824e-24	54.347489529021	TRUE
DNAJC14	1.23449951663126e-18	41.6456441359376	TRUE
PYM1	4.74195929996917e-26	59.1324069759635	TRUE
DGKA	4.26824367663644e-149	371.163959121367	TRUE
PMEL	0.213678432079574	1.54385338770637	TRUE
CDK2	0.139966045055379	1.96728138888425	TRUE
RAB5B	1.18542615943263e-26	60.5584804463292	TRUE
SUOX	1.37502441243982e-08	18.1808874469446	TRUE
IKZF4	0.0176581840449217	4.04045926615299	TRUE
RPS26	1.79974161544976e-263	701.729853703059	FALSE
ERBB3	4.67977975491901e-37	85.3502894662436	TRUE
PA2G4	3.02385550076788e-257	682.6447076048	FALSE
ZC3H10	1.55169076326693e-32	74.5428410542509	TRUE
ESYT1	2.0238161953379e-62	146.997861925998	TRUE
MYL6B	1.36480906003982e-115	281.963366994311	TRUE
MYL6	5.1179071394703e-84	200.865906849558	TRUE
SMARCC2	2.42325233155413e-181	460.181081979792	FALSE
RNF41	5.83883013040873e-114	277.703995128345	TRUE
NABP2	3.27334348368783e-47	109.825941118232	TRUE
ANKRD52	1.08786708711426e-07	16.0955822904248	TRUE
COQ10A	2.62055552464747e-38	88.3526071012135	TRUE
PAN2	0.00366409743207285	5.61671238621214	TRUE
STAT2	9.52827130886243e-53	123.284347234973	TRUE
APOF	0.0856457004471229	2.45898271232237	TRUE
TIMELESS	1.36625529022925e-15	34.5086977083939	TRUE
SPRYD4	2.42172061915875e-24	55.0916530387754	TRUE
GLS2	8.76790813195239e-11	23.2861981555709	TRUE
RBMS2	5.93568698381091e-11	23.6807001590825	TRUE
BAZ2A	2.23569798799774e-74	176.662193869104	TRUE
PTGES3	2.94783974887991e-91	219.212044987366	TRUE
NACA	1.44868460725564e-143	356.211397324716	TRUE
PRIM1	1.89541065159331e-05	10.9018448044412	TRUE
RDH16	1.03198165925011e-51	120.762765370348	TRUE
GPR182	2.2441253103719e-17	38.6896297739964	TRUE
ZBTB39	0.042548829932096	3.15949035971329	TRUE
MYO1A	0.914532436824855	0.0893442532972895	TRUE
NAB2	7.05669612531384e-150	373.28454192567	TRUE
STAT6	0.00153491386325004	6.48934195065888	TRUE
LRP1	2.33346041638159e-19	43.3454391526659	TRUE
NXPH4	2.88708093981765e-28	64.3846305116255	TRUE
SHMT2	7.13428656656739e-06	11.8842834068482	TRUE
NDUFA4L2	5.21899406610173e-06	12.1986933610075	TRUE
STAC3	0.133705718673182	2.01308359562471	TRUE
R3HDM2	1.57455471525353e-96	232.66536840513	TRUE
DDIT3	7.7486289964154e-222	576.548350167051	FALSE
MBD6	5.81146772375366e-14	30.6998062640365	TRUE
DCTN2	6.39966678767368e-31	70.6940273858082	TRUE
KIF5A	0.00372249472285842	5.60085789234996	TRUE
PIP4K2C	3.71072506282013e-19	42.8719893453595	TRUE
DTX3	7.09207859899309e-51	118.724755222775	TRUE
ARHGEF25	0.55713984559156	0.58502092265711	TRUE
B4GALNT1	3.80898633396293e-92	221.474229752628	TRUE
OS9	2.39144160534206e-16	36.2809954239652	TRUE
TSPAN31	8.13350326495169e-140	346.126716892232	TRUE
CDK4	4.27905956672258e-103	249.528895260709	TRUE
METTL1	3.38261105247346e-55	129.266183378708	TRUE
TSFM	2.45807579579139e-48	112.552795337356	TRUE
AVIL	2.39016714030496e-159	399.122510179228	FALSE
CTDSP2	7.71538521540077e-106	256.612769058289	TRUE
LRIG3	9.16094323653712e-48	111.166763314961	TRUE
SLC16A7	3.40345724598658e-36	83.2860595077887	TRUE
USP15	2.17909907902586e-108	263.212692889326	TRUE
MON2	1.90534476825769e-05	10.896590068844	TRUE
PPM1H	1.865773398827e-05	10.9176869892862	TRUE
SRGAP1	1.14673077238926e-105	256.167836353025	TRUE
MAGOHB	6.75588624592426e-90	215.753980215145	TRUE
FOXJ2	3.51769836901142e-08	17.2335879390088	TRUE
NECAP1	2.387059204475e-221	575.113003355551	FALSE
PEX5	0.000112535847434642	9.11205892555674	TRUE
CLSTN3	8.9345160841336e-83	197.733246999154	TRUE
C1RL	5.64666831921993e-29	66.0673574647073	TRUE
C1R	2.0614433232701e-14	31.7517289384129	TRUE
C1S	3.77446499701986e-46	107.253840661448	TRUE
LPCAT3	4.45521611858824e-32	73.4507409347116	TRUE
EMG1	1.80092332020085e-56	132.382836559606	TRUE
PHB2	1.9635783345176e-96	232.41998804263	TRUE
PTPN6	6.65123826383468e-92	220.85775856664	TRUE
ENO2	2.14949321293641e-107	260.636729325084	TRUE
LRRC23	2.84505316458656e-17	38.4479822043546	TRUE
SPSB2	2.51889566988805e-162	407.301304677749	FALSE
TPI1	6.33012554108793e-64	150.709645469983	TRUE
USP5	2.09142704150043e-31	71.8505932345074	TRUE
CDCA3	0.467784506706844	0.759885750830016	TRUE
GNB3	4.17987194311301e-242	636.770999914409	FALSE
P3H3	4.04174526953999e-108	262.517174040873	TRUE
GPR162	8.15527719960857e-51	118.577132644311	TRUE
LAG3	0.0288645263063172	3.5481524699383	TRUE
PTMS	1.65521267486026e-157	394.08003926601	FALSE
MLF2	6.7015507227854e-118	288.005243174141	TRUE
COPS7A	7.04690984455441e-29	65.8388384286707	TRUE
ZNF384	3.27378038831882e-24	54.7822559847251	TRUE
ING4	8.75528909270643e-16	34.9610994788863	TRUE
ACRBP	2.40857270636704e-17	38.6176024219548	TRUE
CHD4	3.57647890740057e-97	234.313251221953	TRUE
NOP2	0.0354720053680215	3.34168203774804	TRUE
IFFO1	3.56105719398052e-32	73.6826500011902	TRUE
NCAPD2	1.03170136628219e-06	13.8298904074701	TRUE
MRPL51	1.52378630403127e-61	144.838015636526	TRUE
VAMP1	0.292386217833712	1.23004176703722	TRUE
TAPBPL	6.33003329661671e-132	325.037284852266	TRUE
CD27	1.89370666679919e-06	13.2186307583449	TRUE
LTBR	1.33842756869248e-08	18.2080984720361	TRUE
SCNN1A	0	1315.74783954871	FALSE
TNFRSF1A	5.43824280697065e-70	165.73511649067	TRUE
PLEKHG6	4.02069497666314e-06	12.4610832498502	TRUE
CD9	5.73615677008179e-236	618.392463539314	FALSE
VWF	7.79177914288322e-149	370.455231911979	TRUE
NTF3	3.23469296493066e-79	188.780651097951	TRUE
KCNA5	2.94618035542767e-23	52.5286602068755	TRUE
NDUFA9	0.15642015753154	1.8560338078626	TRUE
DYRK4	2.47573671211443e-81	194.099853750931	TRUE
RAD51AP1	4.86323650209799e-23	52.0149214885694	TRUE
TIGAR	1.1292260076311e-72	172.412269539879	TRUE
CCND2	4.76709698736368e-62	146.080995378044	TRUE
PARP11	8.45529865469867e-71	167.744960994363	TRUE
TSPAN9	2.40654035402747e-09	19.9396596632438	TRUE
TEAD4	6.86936672425749e-43	99.3759421595353	TRUE
TULP3	1.16094648839531e-09	20.675702265979	TRUE
RHNO1	0.00459616110162243	5.38947582914194	TRUE
ITFG2	1.13922307059805e-48	113.363421359913	TRUE
FKBP4	9.55698918946174e-277	742.866990268205	FALSE
DDX11	6.89379297808201e-116	282.738679193415	TRUE
KDM5A	3.66922742127864e-60	141.438608728339	TRUE
CCDC77	7.81190511031583e-14	30.3996634847404	TRUE
WNK1	2.67131704032893e-61	144.23779152028	TRUE
RAD52	1.40717789477155e-08	18.1575716366592	TRUE
ERC1	1.5648895564305e-86	207.221688776618	TRUE
WNT5B	0.0306146048272248	3.48918949785409	TRUE
FBXL14	7.64280366351582e-67	157.925434413887	TRUE
ADIPOR2	3.93718098703544e-09	19.4427435012536	TRUE
CACNA2D4	0.00817395324979132	4.81233842546106	TRUE
LRTM2	0.0451920588419371	3.09913102934616	TRUE
DCP1B	7.9174933782222e-09	18.7377480804438	TRUE
CACNA1C	4.89606879745382e-110	267.490592071555	TRUE
IL17RA	0.0109190779324196	4.5221324772106	TRUE
CECR2	1.74456513150616e-19	43.6423431702423	TRUE
SLC25A18	0.26627644321871	1.32363951745225	TRUE
ATP6V1E1	1.47835582559816e-171	432.832561305128	FALSE
BCL2L13	2.54900003477193e-26	59.770826597241	TRUE
BID	2.36330505493636e-288	779.331604879211	FALSE
MICAL3	8.50849192564718e-71	167.738185884671	TRUE
PEX26	2.0051294700605e-36	83.8363113163505	TRUE
TUBA8	0.00012437922120333	9.01156144052476	TRUE
